,date_01,Time (GPS s),Velocity forward (m/s),Velocity lateral (m/s),Speed horizontal (m/s),Acceleration forward (m/s2),Acceleration lateral (m/s2),Acceleration down (m/s2),Acceleration filtered forward (m/s2),Acceleration filtered lateral (m/s2),Acceleration filtered down (m/s2),date,jerkRT,speedOpt,accLongOptFilt,accLatOptFilt,jerkOptFilt,speedOptKPH
9326,1900-01-01 14:29:42,1368415712,15.53609688,0.068751382,55.93049642,-0.017384588,1.58980998,-9.997943667,0.097798292,1.576395904,-9.986562333,28:14.4,0.107721316,56.471707742542364,0.03532882203608308,1.7846292086212447,0.014234985898822116,203.29814787315252
9327,1900-01-01 14:29:43,1368415713,15.55718765,0.075251609,56.00653072,0.210415593,1.666799533,-10.37378058,0.201586515,1.725959905,-10.2413549,28:14.5,0.092294391,56.48814159997071,0.03670017471507446,1.7840126869707227,0.013776663379584239,203.35730975989455
9328,1900-01-01 14:29:44,1368415713,15.57624966,0.078767448,56.07521575,0.313038506,1.809164323,-10.35702693,0.1787206,1.700484949,-10.13356923,28:14.6,0.111025536,56.505043951984206,0.038022271609307476,1.783207327684404,0.013291727265814828,203.41815822714315
9329,1900-01-01 14:29:45,1368415713,15.59318775,0.079766013,56.13621038,0.112044217,1.719024709,-9.875268778,0.159601021,1.650713556,-9.832473435,28:14.7,0.139698119,56.522396184925206,0.03929271962009583,1.7822044826960308,0.012781665714017981,203.48062626573073
9330,1900-01-01 14:29:46,1368415713,15.60485216,0.079496109,56.17819672,0.014963469,1.75848489,-9.864028568,0.103432253,1.729436013,-9.932672108,28:14.8,0.136531469,56.54017880518576,0.040509290838437906,1.780995341554648,0.012248056483905988,203.54464369866875
9331,1900-01-01 14:29:47,1368415713,15.62313046,0.078498158,56.24397958,0.397039193,1.816771251,-10.24374839,0.155489667,1.792547023,-9.838059109,28:14.9,0.015279956,56.55837149771549,0.04166993080579759,1.7795709592700448,0.011692558296581458,203.61013739177577
9332,1900-01-01 14:29:48,1368415713,15.65125593,0.088147129,56.34541493,0.209224717,1.81424891,-10.00156877,0.283593258,1.852700073,-10.12413442,28:15.0,0.052976897,56.576953187376795,0.0427727658142102,1.7779222843676972,0.011116901457204753,203.67703147455646
9333,1900-01-01 14:29:49,1368415713,15.67665651,0.092207481,56.43693965,0.179245451,1.905334622,-9.773743518,0.233245325,1.817396955,-9.932542414,28:15.1,0.1850663,56.59590210283131,0.0438161092022933,1.776040186995125,0.010522877851141414,203.74524757019273
9334,1900-01-01 14:29:50,1368415713,15.69012854,0.088196169,56.4853551,0.269194323,1.692856665,-9.807185669,0.120356251,1.733631223,-9.607933716,28:15.2,0.011714664,56.61519584257976,0.044798466409338225,1.7739154868818798,0.009912330433785864,203.81470503328714
9335,1900-01-01 14:29:51,1368415713,15.71084344,0.079804718,56.55976604,0.097341178,1.931694286,-9.642105037,0.19565392,1.707670297,-9.687087445,28:15.3,-0.169714254,56.63481144271635,0.04571853866984869,1.7715389809939028,0.009287142243339356,203.88532119377885
