Index,vehSpd_RT,vehSpd_GoPro,accLong_RT,accLong_GoPro,accLat_RT,accLat_GoPro
213,16.68256634,16.05214957,-0.417278533,0.485295974,-0.452569169,0.147292692
214,16.63459784,16.21877971,-0.3073747,0.644604317,0.276004172,-0.069184652
215,16.60229567,16.32208627,-0.26733193,0.78764988,0.08513605,-0.370503597
216,16.56691258,15.99050419,-0.647406717,0.343045564,0.119236191,-0.402398082
217,16.53503336,15.88823,-0.43092058,0.384052758,0.394428984,-0.579256595
218,16.50696886,16.02396622,-0.229035896,1.060835542,0.077964899,-0.646724725
219,16.47949605,15.96886409,-0.298077684,0.647242206,-0.169492728,-0.624820144
220,16.44905618,15.58790622,-0.071656675,0.492925659,0.393071968,-0.570863309
221,16.41085343,15.08509749,-0.272442883,0.399160671,0.173095289,-0.680095923
222,16.37976899,15.3274492,-0.026955828,0.31498801,0.167906082,-0.629976019
223,16.34726133,15.38794594,-0.376064638,0.596882494,-0.20539104,-0.531294964
224,16.29772234,15.77972331,-0.549414755,0.860153982,-0.24912167,-0.637763473
225,16.23390088,15.54760422,-0.254692534,0.680335731,0.037323683,-0.473860911
226,16.18895443,14.99510659,-0.311728766,0.568465228,-0.263760643,-0.679856115
227,16.13658286,15.59787863,-0.606569971,0.737889688,-0.503862459,-1.09088729
228,16.07449253,15.46553525,-0.744928378,0.398561151,-0.611272898,-0.523381295
229,16.01358428,15.36842408,-0.506108756,0.583112457,-0.779062446,-1.136690647
230,15.94911679,15.15947768,-0.449695653,0.444484412,-0.498088169,-0.406235012
231,15.88301345,14.91287151,-0.443027647,-0.387769784,-0.268423701,-0.952278177
232,15.8314198,14.87069456,-0.505667479,0.79028777,-0.333024254,-0.759472422
233,15.77232993,15.03810174,-0.652255153,0.976258993,-0.527110414,-1.282613909
234,15.6989597,14.8085113,-0.687144906,0.055515588,-0.411735757,-0.420263789
235,15.63231937,15.10240741,-0.501514948,0.160671463,-0.733742897,-1.19361353
236,15.57337042,14.87074883,-0.645641241,0.4617506,-0.907808424,-0.841247002
237,15.51678776,14.69002563,-0.809866328,0.393645084,-0.794955109,-0.914508393
238,15.46219215,14.90259551,-0.583453243,0.360791367,-0.885192565,-1.343405276
239,15.39869526,14.72896869,-0.41433076,0.233093525,-0.559329671,-1.179376499
