cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system,longAccel,latAccel
107900,2023-12-04T02:45:23.290Z,31.1533138,121.4814663,35.43021108,8.895017398,8.891957536,8738,9923.291035,99.99,0,MSLV,-0.340167866,0.905515588
108000,2023-12-04T02:45:23.390Z,31.15330626,121.481469,35.43274797,8.802833104,8.799804954,8738,9923.390608,99.99,0,MSLV,-0.341966427,0.915707434
108100,2023-12-04T02:45:23.489Z,31.15329871,121.4814717,35.43528486,8.71064881,8.707652371,8738,9923.490181,99.99,0,MSLV,-0.30417771,0.907358324
108200,2023-12-04T02:45:23.589Z,31.15329117,121.4814744,35.43782175,8.618464516,8.615499788,8738,9923.589754,99.99,0,MSLV,-0.302997602,0.907553957
108300,2023-12-04T02:45:23.688Z,31.15328362,121.4814772,35.44035865,8.526280222,8.523347205,8738,9923.689327,99.99,0,MSLV,-0.328896882,0.91294964
108400,2023-12-04T02:45:23.788Z,31.15327608,121.4814799,35.44289554,8.434095928,8.431194622,8738,9923.7889,99.99,0,MSLV,-0.336810552,0.910431655
108500,2023-12-04T02:45:23.888Z,31.15326853,121.4814826,35.44543243,8.341911634,8.339042039,8738,9923.888473,99.99,0,MSLV,-0.320863309,0.902398082
108600,2023-12-04T02:45:23.987Z,31.15326099,121.4814853,35.44796932,8.24972734,8.246889456,8738,9923.988046,99.99,0,MSLV,-0.296882494,0.900719424
108700,2023-12-04T02:45:24.087Z,31.15325344,121.481488,35.45050621,8.157543046,8.154736874,8738,9924.087619,99.99,0,MSLV,-0.316666667,0.902398082
108800,2023-12-04T02:45:24.186Z,31.1532459,121.4814907,35.4530431,8.065358752,8.062584291,8738,9924.187192,99.99,0,MSLV,-0.337529976,0.912829736
108900,2023-12-04T02:45:24.286Z,31.15323836,121.4814935,35.45557999,7.973174458,7.970431708,8738,9924.286765,99.99,0,MSLV,-0.329673104,0.907105894
109000,2023-12-04T02:45:24.385Z,31.15323081,121.4814962,35.45811689,7.880990164,7.878279125,8738,9924.386338,99.99,0,MSLV,-0.306714628,0.904436451
109100,2023-12-04T02:45:24.485Z,31.15322327,121.4814989,35.46065378,7.78880587,7.786126542,8738,9924.485911,99.99,0,MSLV,-0.308752998,0.907434053
109200,2023-12-04T02:45:24.585Z,31.15321572,121.4815016,35.46319067,7.696621576,7.693973959,8738,9924.585484,99.99,0,MSLV,-0.33381295,0.917505995
109300,2023-12-04T02:45:24.684Z,31.15320818,121.4815043,35.46572756,7.604437282,7.601821376,8738,9924.685057,99.99,0,MSLV,-0.334052758,0.909472422
109400,2023-12-04T02:45:24.784Z,31.15320063,121.481507,35.46826445,7.512252988,7.509668794,8738,9924.78463,99.99,0,MSLV,-0.311870504,0.905155875
109500,2023-12-04T02:45:24.883Z,31.15319309,121.4815098,35.47080134,7.420068694,7.417516211,8738,9924.884203,99.99,0,MSLV,-0.304796163,0.913788969
109600,2023-12-04T02:45:24.983Z,31.15318554,121.4815125,35.47333823,7.3278844,7.325363628,8738,9924.983776,99.99,0,MSLV,-0.324220624,0.91294964
109700,2023-12-04T02:45:25.082Z,31.153178,121.4815152,35.47587513,7.235700106,7.233211045,8738,9925.083349,99.99,0,MSLV,-0.341915941,0.906222391
109800,2023-12-04T02:45:25.182Z,31.15317045,121.4815179,35.47841202,7.143515812,7.141058462,8738,9925.182922,99.99,0,MSLV,-0.321342926,0.911270983
109900,2023-12-04T02:45:25.281Z,31.15316291,121.4815206,35.48094891,7.051331518,7.048905879,8738,9925.282495,99.99,0,MSLV,-0.304916067,0.901558753
110000,2023-12-04T02:45:25.381Z,31.15315536,121.4815233,35.4834858,6.959147224,6.956753296,8738,9925.382068,99.99,0,MSLV,-0.31942446,0.920263789
110100,2023-12-04T02:45:25.481Z,31.15314782,121.4815261,35.48602269,6.86696293,6.864600714,8738,9925.481641,99.99,0,MSLV,-0.33177458,0.906714628
110200,2023-12-04T02:45:25.580Z,31.15314027,121.4815288,35.48855958,6.774778636,6.772448131,8738,9925.581214,99.99,0,MSLV,-0.31942446,0.903956835
110300,2023-12-04T02:45:25.680Z,31.15313273,121.4815315,35.49109647,6.682594342,6.680295548,8738,9925.680787,99.99,0,MSLV,-0.322422062,0.91235012
110400,2023-12-04T02:45:25.779Z,31.15312518,121.4815342,35.49363337,6.590410048,6.588142965,8738,9925.78036,99.99,0,MSLV,-0.327148807,0.903824309
110500,2023-12-04T02:45:25.879Z,31.15311764,121.4815369,35.49617026,6.498225754,6.495990382,8738,9925.879933,99.99,0,MSLV,-0.321942446,0.90383693
110600,2023-12-04T02:45:25.978Z,31.15311009,121.4815396,35.49870715,6.40604146,6.403837799,8738,9925.979506,99.99,0,MSLV,-0.309472422,0.914628297
110700,2023-12-04T02:45:26.078Z,31.15310255,121.4815424,35.50124404,6.313857166,6.311685216,8738,9926.079079,99.99,0,MSLV,-0.326139089,0.911390887
110800,2023-12-04T02:45:26.178Z,31.15309501,121.4815451,35.50378093,6.221672872,6.219532634,8738,9926.178652,99.99,0,MSLV,-0.334292566,0.904316547
110900,2023-12-04T02:45:26.277Z,31.15308746,121.4815478,35.50631782,6.129488578,6.127380051,8738,9926.278225,99.99,0,MSLV,-0.321942446,0.908153477
111000,2023-12-04T02:45:26.377Z,31.15307992,121.4815505,35.50885472,6.037304284,6.035227468,8738,9926.377798,99.99,0,MSLV,-0.312589928,0.911510791
111100,2023-12-04T02:45:26.476Z,31.15307237,121.4815532,35.51139161,5.94511999,5.943074885,8738,9926.477371,99.99,0,MSLV,-0.318345324,0.911270983
111200,2023-12-04T02:45:26.576Z,31.15306483,121.4815559,35.5139285,5.852935696,5.850922302,8738,9926.576944,99.99,0,MSLV,-0.3356052,0.912911776
111300,2023-12-04T02:45:26.675Z,31.15305728,121.4815586,35.51646539,5.760751402,5.758769719,8738,9926.676517,99.99,0,MSLV,-0.340767386,0.9
